task,reward,seed,batches,final,n,mean_score,specificity_regret,crosstalk_rate,success_rate,mean_on_target,mean_off_target,reward_achieved
cognate,affinity,4,50,0,60,0.4143541073833334,0.7037997106166665,0.55,0.4166666666666667,0.9435118751333333,0.5291577677499999,0.9435118751333333
cognate,affinity,4,75,0,60,0.49198230218333333,0.6261715158166665,0.36666666666666664,0.6,0.9237304345833335,0.4317481324,0.9237304345833335
cognate,affinity,4,100,0,60,0.43321271880000006,0.6849410991999998,0.5,0.4166666666666667,0.9311135235666668,0.4979008047666667,0.9311135235666668
cognate,affinity,4,125,0,60,0.5478205889500001,0.5703332290499998,0.21666666666666667,0.7666666666666667,0.9517135501666668,0.4038929612166667,0.9517135501666668
cognate,affinity,4,150,0,60,0.53007603615,0.5880777818499999,0.3333333333333333,0.6166666666666667,0.9361801255499999,0.4061040894,0.9361801255499999
cognate,affinity,4,0,1,200,0.5216325766250001,0.5965212413749998,0.33,0.62,0.91950695465,0.3978743780249999,0.91950695465
cognate,affinity,4,150,1,200,0.47928038228500003,0.6388734357149999,0.375,0.57,0.92933397696,0.450053594675,0.92933397696
cognate,affinity,5,0,0,60,0.4784075735833333,0.6397462444166666,0.35,0.6166666666666667,0.9179171703666668,0.43950959678333323,0.9179171703666668
cognate,affinity,5,25,0,60,0.4142166869833333,0.7039371310166667,0.45,0.48333333333333334,0.9153293165333334,0.50111262955,0.9153293165333334
cognate,affinity,5,50,0,60,0.4459331373666666,0.6722206806333333,0.4,0.5333333333333333,0.9205413748000001,0.47460823743333336,0.9205413748000001
