assay,seed,scorer,naive_gate,forward_gate,naive_pass,forward_pass,yield,yield_with_audit,random_yield
AACC1_PSEAI_Dandage_2018,24,pool_side,0.6372093023255814,0.6210526315789474,True,True,0.0,0.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,25,honest,0.7441860465116279,0.6631578947368422,True,True,1.0,1.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,25,adaptive_leak,0.7209302325581395,0.6105263157894738,True,True,0.0,0.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,25,pool_side,0.7441860465116279,0.6631578947368422,True,True,0.0,1.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,26,honest,0.6697674418604651,0.6842105263157895,True,True,1.0,1.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,26,adaptive_leak,0.758139534883721,0.7789473684210526,True,True,1.0,1.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,26,pool_side,0.6697674418604651,0.6842105263157895,True,True,1.0,0.0,0.49286936679977184
AACC1_PSEAI_Dandage_2018,27,honest,0.6790697674418604,0.7473684210526317,True,True,0.0,0.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,27,adaptive_leak,0.7488372093023256,0.6947368421052632,True,True,1.0,2.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,27,pool_side,0.6790697674418604,0.7473684210526317,True,True,0.0,0.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,28,honest,0.6744186046511628,0.7052631578947369,True,True,1.0,1.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,28,adaptive_leak,0.6837209302325581,0.45263157894736844,True,False,0.0,0.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,28,pool_side,0.6744186046511628,0.7052631578947369,True,True,1.0,0.0,0.4654877353108956
AACC1_PSEAI_Dandage_2018,29,honest,0.6790697674418604,0.6631578947368421,True,True,1.0,1.0,0.49286936679977184
